               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 175,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.001387,            0.001387,            0.001387
                 176,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,           0.0013375,           0.0013375,           0.0013375
                 177,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.001288,            0.001288,            0.001288
                 178,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,           0.0012385,           0.0012385,           0.0012385
                 179,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.001189,            0.001189,            0.001189
                 180,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,           0.0011395,           0.0011395,           0.0011395
                 181,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,             0.00109,             0.00109,             0.00109
                 182,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,           0.0010405,           0.0010405,           0.0010405
                 183,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.000991,            0.000991,            0.000991
                 184,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,           0.0009415,           0.0009415,           0.0009415
                 185,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.000892,            0.000892,            0.000892
                 186,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,           0.0008425,           0.0008425,           0.0008425
                 187,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.000793,            0.000793,            0.000793
                 188,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,           0.0007435,           0.0007435,           0.0007435
                 189,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.000694,            0.000694,            0.000694
                 190,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,           0.0006445,           0.0006445,           0.0006445
                 191,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.000595,            0.000595,            0.000595
                 192,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,           0.0005455,           0.0005455,           0.0005455
                 193,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.000496,            0.000496,            0.000496
                 194,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,           0.0004465,           0.0004465,           0.0004465
                 195,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.000397,            0.000397,            0.000397
